TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
262,389805.8938,5816584,Linde,Tilia spec.,1966,12,41.06197532,20,19.09431353
263,389800.8927,5816583,Robinie,Robinia pseudoacacia,1953,12,49.97465213,18,1142.910038
264,389794.4511,5816585,Feld-Ahorn,Acer campestre,1999,5,38.83380611,10,24.57958595
265,389812.1054,5816593,Linde,Tilia spec.,1960,10,46.47324338,20,25.87316518
266,389806.1451,5816594,Linde,Tilia spec.,1997,4,17.82535363,10,12.46318958
267,389812.4194,5816603,Silber-Linde,Tilia tomentosa,1995,3,19.41690306,9,13.03844419
268,389806.3346,5816603,Winter-Linde,Tilia cordata,1950,14,56.97746963,20,42.66253829
269,389799.9678,5816606,Robinie,Robinia pseudoacacia,1941,10,57.6140894,17,1426.844632
270,389812.9425,5816614,Linde,Tilia spec.,1955,12,49.65634224,20,30.44115817
271,389806.9809,5816614,Linde,Tilia spec.,1955,11,49.01972247,20,29.49226554
272,389799.9747,5816620,Spitz-Ahorn,Acer platanoides,1926,14,70.98310462,20,116.174073
273,389813.961,5816634,Linde,Tilia spec.,1946,14,53.47606088,20,36.51310968
274,389807.6235,5816634,Linde,Tilia spec.,1957,10,48.3831027,20,28.5611254
275,389800.3647,5816637,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1952,13,48.06479281,20,42.56698592
276,389808.0017,5816644,Linde,Tilia spec.,1966,8,41.3802852,17,19.45962907
277,389808.3918,5816655,Linde,Tilia spec.,1947,10,53.79437077,20,37.04881595
278,389814.6121,5816655,Linde,Tilia spec.,1930,14,76.0760628,20,86.72791603
279,389799.8493,5816646,Linde,Tilia spec.,1975,9,36.60563691,15,14.40321429
280,389845.6641,5816681,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1936,12,68.11831564,17,1255.542649
281,389858.9941,5816694,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1947,12,56.97746963,18,870.4245243
282,389855.9102,5816682,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1943,10,59.20563883,17,941.6848834
283,389865.7103,5816683,Eiche,Quercus spec.,1941,12,65.57183655,17,1161.153206
284,389865.345,5816701,Feld-Ahorn,Acer campestre,2006,4,21.32676237,7,15.2518775
285,389878.089,5816690,Spitz-Ahorn,Acer platanoides,1955,13,51.56620156,18,51.0165959
286,389828.9359,5816579,Weisser Maulbeerbaum,Morus alba,1953,12,49.65634224,20,1250.991769
287,389886.0057,5816685,Eiche,Quercus spec.,1951,14,65.25352667,18,1149.620214
288,389895.8021,5816686,Eiche,Quercus spec.,1942,14,63.34366735,20,1081.660604
289,389896.391,5816681,Birke,Betula spec.,1979,4,28.01126998,10,12.2985291
290,389906.3192,5816682,Birke,Betula spec.,1972,6,34.05915782,15,19.74890777
291,389905.8512,5816687,Eiche,Quercus spec.,1949,10,54.11268065,17,783.021287
292,389911.4752,5816696,Eiche,Quercus spec.,1963,7,46.1549335,20,565.0252803
293,389902.6517,5816706,Robinie,Robinia pseudoacacia,1919,10,82.76057041,20,3390.808096
294,389916.627,5816683,Birke,Betula spec.,1973,6,32.1492985,16,17.17213902
295,389935.5705,5816691,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1921,14,85.62535938,20,2007.264244
296,389937.4753,5816711,Spitz-Ahorn,Acer platanoides,1936,14,60.16056849,18,75.87630171
297,389945.3645,5816692,Eiche,Quercus spec.,1939,14,65.57183655,18,1161.153206
298,389964.1238,5816693,Gemeine Eibe,Taxus baccata,1955,6,38.19718634,7,269.058948
299,389959.8907,5816680,Spitz-Ahorn,Acer platanoides,1970,8,38.19718634,15,23.55531897
300,389948.2291,5816679,Sand-Birke,Betula pendula,1947,9,57.29577951,18,69.63117143
